shelter_id,address,lat,lon
188,서울특별시 중랑구 봉화산로 193 (신내대명아파트 신내아파트보육시설동),37.607398,127.094055
189,서울특별시 중랑구 신내로17길 41 (진로아파트),37.614138,127.093272
190,서울특별시 중랑구 신내로19길 42 (신내6단지신내아파트 관리사무소),37.615226,127.09104
191,"서울특별시 중랑구 신내로 115 (신내동, 신내10단지신내아파트)",37.60937,127.0948219
192,,37.6073922,127.0923798
193,서울특별시 중랑구 신내로21길 116 (신내동),37.612425,127.0850226
194,서울특별시 중랑구 봉화산로 179,37.606488,127.0929506
195,서울특별시 중랑구 신내로 115 (신내10단지신내아파트),37.609337,127.094193
196,서울특별시 중랑구 봉화산로 190 (중랑구청제2청사),37.606233,127.094173
197,서울특별시 중랑구 신내로15길 175,37.6149194,127.0878397
198,서울특별시 성북구 성북로23길 158,37.592266,126.991819
199,서울특별시 성북구 성북로23길 129-5 (북정경로당),37.59274,126.991398
200,서울특별시 성북구 성북로 134 (성북동),37.5948114,126.9948962
201,서울특별시 성북구 성북로 122-13 (성북동),37.5925811,126.9974415
202,서울특별시 성북구 성북로23길 25 (성북동),37.5927177,126.995153
203,서울특별시 성북구 성북로 37,37.591027,127.003228
204,서울특별시 성북구 성북로 41-12,37.591474,127.002557
205,서울특별시 성북구 성북로16가길 4 (성북동),37.5939407,127.0006035
206,서울특별시 성북구 동소문로3길 101 (송산아파트),37.59239,127.010468
207,서울특별시 성북구 성북로 122,37.593994,126.9961154
208,서울특별시 성북구 성북로 21-1 (성북동1가),37.5899572,127.0042115
209,서울특별시 성북구 삼선교로16길 59 (성북어린이청소년도서관),37.585719,127.011129
210,서울특별시 성북구 보문로 168 (성북구청),37.589449,127.016829
211,서울특별시 성북구 보문로29다길 25-9 (삼선1에스에이치빌),37.584711,127.014071
212,서울특별시 성북구 삼선교로16길 35 (삼선 SK VIEW 아파트 102동),37.587727,127.011735
213,서울특별시 성북구 낙산길 243-15 (삼선현대힐스테이트 108동),37.582276,127.014214
214,서울특별시 성북구 보문로29다길 31 (삼선푸르지오 관리사무실),37.584506,127.013606
215,서울특별시 성북구 삼선교로23길 23 (코오롱 아파트),37.59036,127.012724
216,서울특별시 성북구 보문로38길 11 (돈암동일하이빌 102동),37.591619,127.014739
217,서울특별시 성북구 삼선교로4길 152 (삼선동1가),37.5817231,127.008951
218,서울특별시 성북구 삼선교로 54 (삼선동3가),37.5885524,127.0118129
219,서울특별시 성북구 삼선교로18길 41,37.589148,127.014055
220,서울특별시 성북구 보문로 190,37.590897,127.0145
221,서울특별시 성북구 동소문로8길 10 (동소문동2가),37.5893808,127.009585
