진료개시년도,지역,환자수
2023,군포시,27
2023,의왕시,24
2023,하남시,52
2023,용인시 처인구,77
2023,용인시 기흥구,82
2023,용인시 수지구,147
2023,파주시,190
2023,이천시,211
2023,안성시,35
2023,김포시,85
2023,화성시,247
2023,광주시,101
2023,양주시,46
2023,포천시,61
2023,여주시,43
2023,연천군,26
2023,가평군,13
2023,양평군,24
2023,춘천시,*
2023,원주시,9
2023,강릉시,6
2023,동해시,*
2023,태백시,*
2023,속초시,6
2023,삼척시,*
2023,홍천군,*
2023,영월군,*
2023,평창군,*
2023,정선군,*
2023,철원군,*
2023,양구군,*
2023,양양군,*
2023,청주시 상당구,548
2023,청주시 서원구,88
2023,청주시 흥덕구,65
2023,청주시 청원구,73
2023,충주시,69
2023,제천시,33
2023,보은군,12
2023,옥천군,64
2023,영동군,22
2023,증평군,17
2023,진천군,115
2023,괴산군,26
2023,음성군,57
2023,단양군,10
2023,천안시 동남구,74
2023,천안시 서북구,57
2023,공주시,40
2023,보령시,35
2023,아산시,96
2023,서산시,19
2023,논산시,41
2023,계룡시,16
2023,당진시,127
2023,금산군,16
2023,부여군,40
2023,서천군,48
2023,청양군,15
2023,홍성군,43
2023,예산군,31
2023,태안군,210
2023,전주시 완산구,137
2023,전주시 덕진구,125
2023,군산시,184
2023,익산시,66
2023,정읍시,82
2023,남원시,25
2023,김제시,179
2023,완주군,52
2023,진안군,6
2023,무주군,47
2023,장수군,6
2023,임실군,33
2023,순창군,36
2023,고창군,17
2023,부안군,37
2023,목포시,70
2023,여수시,103
2023,순천시,98
2023,나주시,19
2023,광양시,174
2023,담양군,18
2023,곡성군,13
2023,구례군,88
2023,고흥군,54
2023,보성군,35
2023,화순군,24
2023,장흥군,11
2023,강진군,9
2023,해남군,141
2023,영암군,33
2023,무안군,47
2023,함평군,28
2023,영광군,21
2023,장성군,8
2023,완도군,25
2023,진도군,12
2023,신안군,59
2023,포항시 남구,113
2023,포항시 북구,74
2023,경주시,51
2023,김천시,43
2023,안동시,31
2023,구미시,101
2023,영주시,33
2023,영천시,208
2023,상주시,92
2023,문경시,25
2023,경산시,46
2023,의성군,54
2023,청송군,5
2023,영양군,11
2023,영덕군,40
2023,청도군,24
2023,고령군,9
2023,성주군,13
2023,칠곡군,25
2023,예천군,15
2023,봉화군,11
2023,울진군,42
2023,울릉군,*
2023,창원시 의창구,70
2023,창원시 성산구,48
2023,창원시 마산합포구,29
2023,창원시 마산회원구,22
2023,창원시 진해구,69
2023,진주시,84
2023,통영시,94
2023,사천시,83
2023,김해시,485
2023,밀양시,33
2023,거제시,177
2023,양산시,561
2023,의령군,13
2023,함안군,17
2023,창녕군,241
2023,고성군,37
2023,남해군,24
2023,하동군,18
2023,산청군,47
2023,함양군,27
2023,거창군,14
2023,합천군,57
2023,제주시,297
2023,서귀포시,1115
2023,춘천시,52
2023,원주시,53
2023,강릉시,41
2023,동해시,13
2023,태백시,5
2023,속초시,26
2023,삼척시,17
2023,홍천군,13
2023,횡성군,14
2023,영월군,13
2023,평창군,11
2023,정선군,*
2023,철원군,11
2023,화천군,14
2023,양구군,7
2023,인제군,*
2023,고성군,5
2023,양양군,7
2024,종로구,50
2024,중구,50
2024,용산구,114
2024,성동구,61
2024,광진구,70
2024,동대문구,91
2024,중랑구,79
2024,성북구,78
2024,강북구,57
2024,도봉구,60
2024,노원구,79
2024,은평구,135
2024,서대문구,243
2024,마포구,142
2024,양천구,130
2024,강서구,93
2024,구로구,167
2024,금천구,39
2024,영등포구,111
2024,동작구,217
2024,관악구,136
2024,서초구,949
2024,강남구,374
2024,송파구,151
2024,강동구,292
2024,중구,15
2024,서구,50
2024,동구,56
2024,영도구,240
2024,부산진구,113
2024,동래구,109
2024,남구,98
2024,북구,63
2024,해운대구,141
2024,사하구,136
2024,금정구,54
2024,강서구,83
2024,연제구,42
2024,수영구,44
2024,사상구,170
2024,기장군,72
2024,중구,16
2024,동구,53
2024,서구,50
2024,남구,43
2024,북구,63
2024,수성구,89
2024,달서구,80
2024,달성군,67
2024,군위군,8
2024,중구,46
2024,동구,19
2024,미추홀구,167
2024,연수구,83
2024,남동구,108
2024,부평구,363
2024,계양구,63
2024,서구,197
2024,강화군,24
2024,옹진군,33
2024,동구,26
2024,서구,99
2024,남구,43
2024,북구,124
2024,광산구,148
2024,동구,72
2024,중구,96
2024,서구,172
2024,유성구,112
2024,대덕구,82
2024,중구,140
2024,남구,217
2024,동구,62
2024,북구,69
2024,울주군,119
2024,세종시,269
2024,수원시 장안구,62
2024,수원시 권선구,171
2024,수원시 팔달구,47
2024,수원시 영통구,71
2024,성남시 수정구,51
2024,성남시 중원구,56
2024,성남시 분당구,155
2024,의정부시,89
2024,안양시 만안구,25
2024,안양시 동안구,66
2024,부천시,*
2024,부천시 원미구,120
2024,부천시 소사구,75
2024,부천시 원미구,*
2024,부천시 오정구,42
2024,광명시,74
2024,평택시,264
2024,동두천시,33
2024,안산시 상록구,153
2024,안산시 단원구,115
2024,고양시 덕양구,118
2024,고양시 일산동구,318
2024,고양시 일산서구,84
2024,과천시,20
2024,구리시,40
2024,남양주시,174
2024,오산시,77
2024,시흥시,179
2024,군포시,34
2024,의왕시,35
2024,하남시,77
2024,용인시 처인구,101
2024,용인시 기흥구,121
2024,용인시 수지구,118
2024,파주시,250
2024,이천시,221
2024,안성시,45
2024,김포시,105
2024,화성시,330
2024,광주시,109
2024,양주시,64
2024,포천시,71
2024,여주시,42
2024,연천군,35
2024,가평군,11
2024,양평군,35
2024,청주시 상당구,600
2024,청주시 서원구,109
2024,청주시 흥덕구,72
2024,청주시 청원구,76
2024,충주시,79
2024,제천시,36
2024,보은군,17
2024,옥천군,58
2024,영동군,24
2024,증평군,35
2024,진천군,126
2024,괴산군,45
2024,음성군,75
2024,단양군,13
2024,천안시 동남구,60
2024,천안시 서북구,91
2024,공주시,40
2024,보령시,34
2024,아산시,126
2024,서산시,35
2024,논산시,43
2024,계룡시,7
2024,당진시,176
2024,금산군,19
2024,부여군,49
2024,서천군,77
2024,청양군,20
2024,홍성군,30
2024,예산군,37
2024,태안군,270
2024,정읍시,*
2024,남원시,*
2024,목포시,152
2024,여수시,164
2024,순천시,184
2024,나주시,31
2024,광양시,160
2024,담양군,30
2024,곡성군,15
2024,구례군,118
2024,고흥군,72
2024,보성군,42
2024,화순군,55
2024,장흥군,16
2024,강진군,19
2024,해남군,236
2024,영암군,55
2024,무안군,55
2024,함평군,51
2024,영광군,43
2024,장성군,39
2024,완도군,78
2024,진도군,36
2024,신안군,102
2024,포항시 남구,111
2024,포항시 북구,85
2024,경주시,106
2024,김천시,63
2024,안동시,41
2024,구미시,185
2024,영주시,22
2024,영천시,299
2024,상주시,72
2024,문경시,32
2024,경산시,97
